lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
17.58333,120.83333, , , , , , ,1
46.122,23.129,12.81, , , , , ,1
49.5821,118.571, , , , , , ,1
54.85361,-126.00222,51, , , , , ,1
49.8232,118.825,227,43.5,0.44,0.02, , ,3
30.2688,55.4795, , , , , , ,1
34.58583,-113.21194,71.8,2501,0.293,0.0152, ,1.019,6
63.67,-141.1,77.5, , , , , ,1
29.827,55.996,17.8,24,0.27, , , ,2
39.439,38.5817,51.9, , , , , ,1
29.0583,57.4917,25.43, , , , , ,1
27.01506,-108.12125,65.7,604.685,0.394,0.0079,0.032,3.911,5
-5.95,142.53,1.7, , , , , ,1
44.21902,131.33384, , , , , , ,1
42.41639,119.82667,236,27.771,0.49,0.08, , ,3
42.2269,112.502,445,65,0.8,0.007,0.3,2.84,3
40.6331,99.4466, ,17.9,1.17, ,14, ,2
49.21877,75.67703,310, , , , , ,1
29.9965,114.973, ,15.641,0.78, , , ,2
34.53,58.275,76.6, , , , , ,1
-27.26667,-66.65,7, , , , , ,1
-27.32972,-66.60889,7.1,605,0.54, ,0.64, ,5
-48.075,-67.30833,200, , , , , ,1
-27.4,-66.55,7.1, , , , , ,1
-27.28333,-66.56667,7.9,200,0.32, ,0.12, ,4
40.9609,35.3959,38,200,0.18,0.001, , ,4
16.7,120.74, , , , , , ,1
10.13333,124.25, ,5,0.8, , , ,2
17.38232,121.149,0.65,70,0.6, ,0.2, ,3
31.74,85.53,88.9,1.449,0.69, , , ,2
38.2791,27.5602,14.18, , , , , ,1
41.0204,41.445,62.3,145,0.22,0.001, , ,4
39.8505,33.7312,73.6, , , , , ,1
57.27834,-130.41669, , , , , , ,1
56.6652,-5.1785, , , , , , ,1
-6.869,156.066,3.96, , , , , ,1
38.75,46.6167,19.62, , , , , ,1
-1.66667,-79.15,20.7, , , , , ,1
30.854,117.38,154.25, , , , , ,1
29.889,55.998,30.86, , , , , ,1
29.91493,91.96628,15.6, , , , , ,1
-20.13699,146.75008,395, , , , , ,1
29.40158,88.45088, , , , , , ,1
48.47064,18.89865,13.2,210,0.35,0.001,0.23,9.5,4
45.5011,84.4781,310,225,0.28,0.011,0.1,1.8,4
31.75,97.41667,42.6,95.5,0.22,0.06, , ,4
41.38,88.6333,275, , , , , ,1
-22.68333,-65.88333, , , , , , ,1
-0.5,113.18, , , , , , ,1
-20.10957,146.78779,395, , , , , ,1
46.4,111.2167, , , , , , ,1
9.481,122.682,34.4,214.099, , , , ,4
39.7038,34.7963,77.6, , , , , ,1
27.60762,-109.36668,57.5, , , , , ,1
52.82222,61.79468,301,165,0.66, ,0.15, ,4
13.68,121.2, , , , , , ,1
17.35449,121.0666,7,86.9,0.599,0.002,0.31,2,3
-8.96,116.87,3.7,1036.907,0.389, ,0.287,0.962,6
62.11056,-141.21194,111,140,0.2,0.01,0.01, ,4
50.61081,-127.51172,174, , , , , ,1
50.59611,-127.45582,174, , , , , ,1
50.63111,-127.52172,174, , , , , ,1
49.4361,103.6474,290, , , , , ,1
43.5873,101.7067,290, , , , , ,1
49.8003,106.2448,290, , , , , ,1
43.062,106.1452,290, , , , , ,1
44.16,99.5,290, , , , , ,1
48.7708,100.6833,290, , , , , ,1
48.12576,114.5395, , , , , , ,1
46.6833,104.8833,222, , , , , ,1
17.3,120.83857, , , , , , ,1
36.8917,47.3,19.62, , , , , ,1
39.4409,38.5638,51.9, , , , , ,1
-19.98549,147.62138,265, , , , , ,1
56.10314,-126.87447,187.7, , , , , ,1
62.2854,-149.4151, , , , , , ,1
56.11361,-126.88332,53, , , , , ,1
39.03,-119.18,168.4,453.6,0.4, , , ,5
46.34032,-112.07949,44.95,49.896,0.5, , , ,3
64.33667,160.33667,122.75, , , , , ,1
56.51667,-158.4,3.7,4.5,0.25,0.01, , ,2
44.7436,81.4257,301, , , , , ,1
49.83333,-91.0,2720,0.01,0.2,0.03,0.4, ,2
26.15,100.2,36.87,125,0.52, ,2.42,38.85,4
8.85245,-80.76733,28.47,41.27,0.227, ,0.5,0.771,3
55.00281,-126.23192,51,357,0.402, ,0.169, ,5
18.07208,-77.16538, ,13.177,0.35, ,0.17, ,2
51.30441,-124.41672,44.52, , , , , ,1
-21.2656,148.8679,122.75,20,0.3, , , ,2
47.81806,-66.34778, ,20.9,0.18,0.01, , ,2
51.22,61.77,312,537.015,0.403,0.0023,0.07,0.048,5
53.80361,-127.43502,48,650.6,0.285,0.0362, ,3.499,5
47.15,112.3333,290, , , , , ,1
-26.71797,-70.05616, ,30,0.291, , , ,3
41.2465,41.9838,40, , , , , ,1
41.2284,41.9516,112.7, , , , , ,1
-0.617,113.417,28.47,64.7,0.623, , , ,3
48.34614,76.25009,360,540,0.41,0.004, , ,5
50.49811,-120.98782,209,677,0.45,0.016,0.005,0.4,5
-26.3,-67.9,14, , , , , ,1
4.3458,96.51106, ,511,0.479,0.0123,0.13,1.267,5
29.6167,56.5167,8.48, , , , , ,1
29.8833,55.9833, , , , , , ,1
28.6511,60.9655,4.3, , , , , ,1
55.66306,-129.34863,187.7, , , , , ,1
49.94331,-120.59612,219.15, , , , , ,1
50.66281,-120.43672,205,3.266,0.71, ,0.44, ,2
54.80971,-126.89612,48.7,174.8,0.235,0.0076, , ,4
45.6,97.25, , , , , , ,1
-8.624,119.0, , , , , , ,1
40.52917,-112.15389,37,781,0.517,0.0355,0.218,2.529,6
55.97083,137.23056,78.25, , , , , ,1
55.77361,136.61889,78.25, , , , , ,1
54.99609,61.03853,347,4.7,0.7, , , ,2
31.43194,-109.90139,200,346.6,0.656, ,0.016,0.45,5
-5.225,144.008, , , , , , ,1
